keyword,engine,attempted_at,http_status,status,evidence_path,note
강남구 필라테스 허리통증 가격,google,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 허리통증 가격,naver,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 허리통증 후기,google,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 허리통증 후기,naver,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 갱년기 가격,google,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 갱년기 가격,naver,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 갱년기 후기,google,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 갱년기 후기,naver,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 초보 가격,google,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 초보 가격,naver,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 초보 후기,google,2026-08-03T01:00:00Z,200,ok,,
강남구 필라테스 초보 후기,naver,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 허리통증 가격,google,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 허리통증 가격,naver,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 허리통증 후기,google,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 허리통증 후기,naver,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 갱년기 가격,google,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 갱년기 가격,naver,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 갱년기 후기,google,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 갱년기 후기,naver,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 초보 가격,google,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 초보 가격,naver,2026-08-03T01:00:00Z,429,blocked,,rate limited · 재시도하지 않음
강남구 요가 초보 후기,google,2026-08-03T01:00:00Z,200,ok,,
강남구 요가 초보 후기,naver,2026-08-03T01:00:00Z,429,blocked,,rate limited · 재시도하지 않음
